ID	ouverture	angle	angle	ouverture
336	77.3	50.34183103	33.5	60.62534738
337	77.4	50.4231103	33.6	60.70136505
338	77.5	50.50443272	33.7	60.78718946
339	77.6	50.59936331	33.8	60.86374914
340	77.7	50.68077897	33.9	60.95018473
341	77.8	50.76223755	34	61.02728893
342	77.9	50.84373898	34.1	61.1143385
343	78	50.93887804	34.2	61.19198972
344	78.1	51.02047206	34.3	61.2796561
345	78.2	51.10210869	34.4	61.35785685
346	78.3	51.18378788	34.5	61.44614286
347	78.4	51.27913393	34.6	61.52489565
348	78.5	51.36090505	34.7	61.61380412
349	78.6	51.44271848	34.8	61.69311146
350	78.7	51.52457416	34.9	61.78264523
351	78.8	51.606472	35	61.86250964
352	78.9	51.68841195	35.1	61.95267153
353	79	51.78406166	35.2	62.03309554
354	79.1	51.86609256	35.3	62.11378376
355	79.2	51.94816534	35.4	62.20487453
356	79.3	52.03027991	35.5	62.28612605
357	79.4	52.1124362	35.6	62.37785196
358	79.5	52.19463414	35.7	62.45966932
359	79.6	52.27687365	35.8	62.54175384
360	79.7	52.35915467	35.9	62.63441895
361	79.8	52.44147711	36	62.71707302
362	79.9	52.52384092	36.1	62.799996
363	80	52.606246	36.2	62.89360648
364	80.1	52.6886923	36.3	62.97710275
365	80.2	52.77117973	36.4	63.06086968
366	80.3	52.85370822	36.5	63.1554317
367	80.4	52.93627771	36.6	63.23977565
368	80.5	53.01888811	36.7	63.32439202
369	80.6	53.10153936	36.8	63.41991176
370	80.7	53.18423137	36.9	63.5051089
371	80.8	53.26696409	37	63.59058021
372	80.9	53.34973742	37.1	63.67632627
373	81	53.41874618	37.2	63.77311969
374	81.1	53.5015938	37.3	63.85945145
375	81.2	53.58448183	37.4	63.94605972
376	81.3	53.66741021	37.5	64.03294507
377	81.4	53.75037885	37.6	64.12010805
378	81.5	53.83338769	37.7	64.21849897
379	81.6	53.91643664	37.8	64.30625381
380	81.7	53.9856747	37.9	64.39428805
381	81.8	54.06879702	38	64.48260227
382	81.9	54.15195925	38.1	64.57119702
383	82	54.23516131	38.2	64.66007287
384	82.1	54.30452675	38.3	64.76039491
385	82.2	54.38780165	38.4	64.84986999
386	82.3	54.47111619	38.5	64.93962794
387	82.4	54.55447028	38.6	65.02966932
388	82.5	54.62396218	38.7	65.11999472
389	82.6	54.70738859	38.8	65.21060468
390	82.7	54.79085434	38.9	65.30149979
391	82.8	54.86043914	39	65.3926806
392	82.9	54.94397683	39.1	65.49560123
393	83	55.02755366	39.2	65.58739106
394	83.1	55.09723085	39.3	65.67946836
395	83.2	55.18087923	39.4	65.77183372
396	83.3	55.26456653	39.5	65.86448768
397	83.4	55.33433562	39.6	65.95743084
398	83.5	55.41809409	39.7	66.05066374
399	83.6	55.50189127	39.8	66.14418696
400	83.7	55.57175177	39.9	66.23800107
401	83.8	55.65561972	40	66.33210663
402	83.9	55.7255391	40.1	66.42650421
403	84	55.80947759	40.2	66.52119439
404	84.1	55.87945563	40.3	66.61617772
405	84.2	55.9634644	40.4	66.71145478
406	84.3	56.03350091	40.5	66.80702614
407	84.4	56.1175797	40.6	66.90289236
408	84.5	56.20169658	40.7	66.99905401
409	84.6	56.27182302	40.8	67.09551165
410	84.7	56.35600955	40.9	67.19226587
411	84.8	56.42619392	41	67.28931722
412	84.9	56.49640455	41.1	67.38666627
413	85	56.58069192	41.2	67.4843136
414	85.1	56.65096018	41.3	67.57000013
415	85.2	56.73531657	41.4	67.66820824
416	85.3	56.80564224	41.5	67.76671626
417	85.4	56.89006739	41.6	67.86552475
418	85.5	56.96045027	41.7	67.96463428
419	85.6	57.04494395	41.8	68.06404541
420	85.7	57.11538381	41.9	68.16375872
421	85.8	57.18584952	42	68.26377476
422	85.9	57.27044241	42.1	68.36409412
423	86	57.3409648	42.2	68.45212281
424	86.1	57.41151289	42.3	68.5530124
425	86.2	57.49620445	42.4	68.65420693
426	86.3	57.56680892	42.5	68.75570696
427	86.4	57.63743895	42.6	68.85751306
428	86.5	57.72222866	42.7	68.9596258
429	86.6	57.79291476	42.8	69.04922644
430	86.7	57.86362629	42.9	69.15191565
431	86.8	57.9485136	43	69.25491313
432	86.9	58.01928089	43.1	69.35821944
433	87	58.09007346	43.2	69.46183515
434	87.1	58.17505785	43.3	69.55275314
435	87.2	58.24590587	43.4	69.65695048
436	87.3	58.31677904	43.5	69.76145885
437	87.4	58.3876773	43.6	69.86627881
438	87.5	58.47278828	43.7	69.97141092
439	87.6	58.5437416	43.8	70.06365801
440	87.7	58.61471987	43.9	70.16937692
441	87.8	58.68572306	44	70.2754096
442	87.9	58.75675111	44.1	70.36844602
443	88	58.84201754	44.2	70.47506854
444	88.1	58.91310015	44.3	70.58200644
445	88.2	58.98420749	44.4	70.6892603
446	88.3	59.05533951	44.5	70.78336704
447	88.4	59.12649617	44.6	70.89121483
448	88.5	59.19767742	44.7	70.99938017
449	88.6	59.28312733	44.8	71.0942858
450	88.7	59.35436254	44.9	71.20304809
451	88.8	59.42562221	45	71.31212957
452	88.9	59.49690629	45.1	71.40783813
453	89	59.56821474	45.2	71.51751957
454	89.1	59.63954751	45.3	71.6275218
455	89.2	59.71090456	45.4	71.72403734
456	89.3	59.78228584	45.5	71.83464256
457	89.4	59.85369132	45.6	71.94557016
458	89.5	59.93940976	45.7	72.04289672
459	89.6	60.0108683	45.8	72.15443032
